Record                                                    	Our Team       	Opponents       	Our First Replay                                                                   	Opponents' First Replay
Longest winning streak                                    	6              	9               	-                                                                                  	-
Most consecutive games with a win chance of at least 50%  	12             	7               	-                                                                                  	-
Most goals scored in one game                             	9              	9               	https://ballchasing.com/replay/2169193a-03a9-4bf4-ad40-9bfd7b1cbc75#watch          	https://ballchasing.com/replay/94ee48f8-fccf-4621-a347-2fcf33577d53#watch
Biggest winning margin                                    	6              	7               	https://ballchasing.com/replay/3c07a1a5-f2c6-48b3-b807-3e5610b02f7c#watch          	https://ballchasing.com/replay/94ee48f8-fccf-4621-a347-2fcf33577d53#watch
Most consecutive games scored in                          	105            	63              	-                                                                                  	-
Most consecutive games failed to score in                 	1              	2               	-                                                                                  	-
Most shots in one game                                    	18             	21              	https://ballchasing.com/replay/3595881e-328b-48dc-a13e-ab713ca4899d#watch          	https://ballchasing.com/replay/7a304476-0ace-4a4b-957f-e06c3b9ef161#watch
Most assists in one game                                  	5              	7               	https://ballchasing.com/replay/99c849c6-6e88-46fc-8a17-c62ef8c1483a#watch          	https://ballchasing.com/replay/09b1b4f0-55ee-4c86-a501-19acabdcaaf3#watch
Most saves in one game                                    	10             	9               	https://ballchasing.com/replay/a49b0a74-b791-4626-9206-cadbfd204972#watch          	https://ballchasing.com/replay/a5b89cd4-174d-48af-99ad-ad8512496d92#watch
Highest xG in one game                                    	10.27          	12.48           	https://ballchasing.com/replay/f12dbc14-2f34-4a35-a98b-f991189640df#watch          	https://ballchasing.com/replay/f34a3df1-31d3-42c0-bfb4-19c4aa4063f6#watch
Highest shot xG in one game                               	7.07           	8.31            	https://ballchasing.com/replay/3595881e-328b-48dc-a13e-ab713ca4899d#watch          	https://ballchasing.com/replay/186c6a90-a1a9-4121-b92d-68b4247f6b1a#watch
Highest non-shot xG in one game                           	5.59           	5.19            	https://ballchasing.com/replay/8d27a73e-0f61-4008-80b5-ced763eb6c70#watch          	https://ballchasing.com/replay/0453b86b-d328-47da-8098-e31f09960830#watch
Lowest xG in one game                                     	1.33           	0.07            	https://ballchasing.com/replay/b10b00e9-db2e-44ba-8624-9417e708fc2c#watch          	https://ballchasing.com/replay/c3bb1ef9-53f8-46c2-a40d-b3b4d16268ab#watch
Highest xG without scoring in one game (only shot-goals)  	4.92           	3.95            	https://ballchasing.com/replay/1a690bd9-c25e-4a15-8e82-b3659223fcec#watch          	https://ballchasing.com/replay/fd950dd8-7470-42dd-91e1-e74f27cf849b#watch
Biggest xG overperformance in one game (only shot-goals)  	5G from 2.71 xG	6G from 2.9 xG  	https://ballchasing.com/replay/5e679abc-1858-42eb-a80e-9eb0edcfcbb2#watch          	https://ballchasing.com/replay/38bec57c-6247-432b-8414-4cd1029b4931#watch
Biggest xG overperformance in one game (only shot-goals) %	85%            	107%            	https://ballchasing.com/replay/5e679abc-1858-42eb-a80e-9eb0edcfcbb2#watch          	https://ballchasing.com/replay/38bec57c-6247-432b-8414-4cd1029b4931#watch
Biggest shot chance missed (xG)                           	0.934586       	0.891732        	https://ballchasing.com/replay/3333e1a4-8ee4-47e8-aacf-c80855447d21#watch?t=167.91s	https://ballchasing.com/replay/7f2c76ff-114a-405b-ab74-7a2ae937aa03#watch?t=258.42s
Unlikeliest shot-goal scored (xG)                         	0.004363       	0.003234        	https://ballchasing.com/replay/4f201577-47d0-432f-8de6-3103c44d2f81#watch?t=105.25s	https://ballchasing.com/replay/8da88a5b-e207-4866-b039-e835857612ca#watch?t=67.33s
Biggest non-shot chance missed (xG)                       	0.962435       	0.959346        	https://ballchasing.com/replay/139304ee-cc4a-4586-a35d-01966128f66b#watch?t=73.11s 	https://ballchasing.com/replay/8e256c72-c3e0-4f5e-9645-212dbdc55fca#watch?t=248.38s
Unlikeliest non-shot-goal scored (xG)                     	0.000375       	0.000119        	https://ballchasing.com/replay/365d9b56-ff6a-4282-a8e2-b7f61ccfa510#watch?t=134.38s	https://ballchasing.com/replay/83fe7092-0aa7-458f-bf70-09cdf6b65d4b#watch?t=120.78s
Furthest shot-goal scored (m)                             	89             	83              	https://ballchasing.com/replay/a707c024-5f84-40e8-bfc6-2f48397d701c#watch?t=9.62s  	https://ballchasing.com/replay/77e20157-0d9b-4648-87fc-d6ccc9829139#watch?t=117.65s
Furthest non-shot-goal scored (m)                         	105            	105             	https://ballchasing.com/replay/365d9b56-ff6a-4282-a8e2-b7f61ccfa510#watch?t=134.38s	https://ballchasing.com/replay/004a9173-bb3a-4252-975a-58fa0be946e5#watch?t=318.75s
Highest shot-goal scored (m)                              	18             	17              	https://ballchasing.com/replay/648b713e-f163-4631-b5e4-0f180e5fb823#watch?t=140.35s	https://ballchasing.com/replay/e6560d67-ebdf-4a6f-a280-78cebb7515f3#watch?t=319.07s
Highest non-shot-goal scored (m)                          	14             	18              	https://ballchasing.com/replay/47044845-435b-42a7-8e5e-2c9974dad566#watch?t=275.8s 	https://ballchasing.com/replay/00087bac-4ca6-47c1-9d34-ded7fa1731f8#watch?t=163.98s
Most consecutive MVPs (no tiebreaker)                     	9              	9               	-                                                                                  	-
Most consecutive games without MVP                        	9              	9               	-                                                                                  	-
Most consecutive goals from shots                         	8              	6               	-                                                                                  	-
Most consecutive misses from shots                        	12             	19              	-                                                                                  	-
Unlikeliest win scoreline vs expected scoreline           	3-2 (2.72-7.95)	6-5 (3.16-9.59) 	https://ballchasing.com/replay/f8c92cf1-eaf5-483e-9284-3ca4acb81321#watch          	https://ballchasing.com/replay/8d27a73e-0f61-4008-80b5-ced763eb6c70#watch
Unlikeliest win % in a win                                	1.93%          	0.55%           	https://ballchasing.com/replay/f8c92cf1-eaf5-483e-9284-3ca4acb81321#watch          	https://ballchasing.com/replay/8d27a73e-0f61-4008-80b5-ced763eb6c70#watch
Likeliest win scoreline vs expected scoreline             	4-0 (6.04-0.38)	6-1 (10.89-2.04)	https://ballchasing.com/replay/bfbd88eb-5882-4540-85e5-cd21457a472e#watch          	https://ballchasing.com/replay/186c6a90-a1a9-4121-b92d-68b4247f6b1a#watch
Likeliest win % in a win                                  	99.92%         	99.97%          	https://ballchasing.com/replay/bfbd88eb-5882-4540-85e5-cd21457a472e#watch          	https://ballchasing.com/replay/186c6a90-a1a9-4121-b92d-68b4247f6b1a#watch
Highest team score                                        	1742           	1874            	https://ballchasing.com/replay/3595881e-328b-48dc-a13e-ab713ca4899d#watch          	https://ballchasing.com/replay/09b1b4f0-55ee-4c86-a501-19acabdcaaf3#watch
Lowest team score                                         	337            	118             	https://ballchasing.com/replay/1b75c35f-62b1-41aa-8774-53291e0d1bed#watch          	https://ballchasing.com/replay/c3bb1ef9-53f8-46c2-a40d-b3b4d16268ab#watch
Most hits in one game                                     	125            	134             	https://ballchasing.com/replay/e482b7ea-71fa-4604-98b4-17ce164c99c0#watch          	https://ballchasing.com/replay/5a6b0508-98c8-42b9-bfe8-12efecde0146#watch
Least hits in one game                                    	16             	10              	https://ballchasing.com/replay/c3bb1ef9-53f8-46c2-a40d-b3b4d16268ab#watch          	https://ballchasing.com/replay/c3bb1ef9-53f8-46c2-a40d-b3b4d16268ab#watch
Most demos in one game                                    	8              	5               	https://ballchasing.com/replay/f801d271-c985-44f4-b079-dc55fcdb945e#watch          	https://ballchasing.com/replay/5a1fb1f1-0629-40b7-a255-224ea2a4fe7b#watch
Most passes in one game                                   	21             	22              	https://ballchasing.com/replay/c8ffb998-0050-41b6-9fcb-18d0eb39105a#watch          	https://ballchasing.com/replay/c3a8c85e-08aa-4834-8d9f-24db3c0d78f3#watch
Most dribbles in one game                                 	36             	44              	https://ballchasing.com/replay/e482b7ea-71fa-4604-98b4-17ce164c99c0#watch          	https://ballchasing.com/replay/00087bac-4ca6-47c1-9d34-ded7fa1731f8#watch
Most clears in one game                                   	17             	15              	https://ballchasing.com/replay/e67bc95b-c28c-4873-8ab1-c3ad88a78564#watch          	https://ballchasing.com/replay/bae60ba7-1c99-42ea-8230-558f4eb7d8d1#watch
Most aerials in one game                                  	20             	31              	https://ballchasing.com/replay/ef72abea-aa68-4cd3-bee4-e65c88934ad8#watch          	https://ballchasing.com/replay/6817c4e0-6f6f-431d-92cf-17d794f45ac6#watch
Most balls won in one game                                	24             	28              	https://ballchasing.com/replay/e4d29b9f-15db-46dd-a3c5-47c874ab4f33#watch          	https://ballchasing.com/replay/f0067a50-45c5-41da-8848-61567877a0dc#watch
